CATEGORY,Q1,V1,A1,,Q2,V2,A2,,Q3,V3,A3,,Q4,V4,A4,
LIVRES EN FRANCAIS,Contains both French & Russian elements: ''La guerre et la paix'',200,War and Peace,what is war and peace,Pure poetry from a Brooklyn bard: ''Feuilles d'herbe'',400,Leaves of Grass,what is leaves of grass,Adventure in Africa: ''Au coeur des ténèbres'',600,Hearts of Darkness,what is hearts of darkness,About a quest or quête: ''L'épée dans la pierre'',800,The Sword in the Stone,what is sword in the stone
DISNEY CHARACTERS,This legendary warrior maiden of China gained a superpower for her 2020 live-action remake,200,Mulan,who is mulan,In ''Aladdin'' Jafar's sidekick is a sarcastic parrot with this villainous name,400,Iago,who is iago,A song about him says ''No one's slick as... No one's quick as... No one's neck's as incredibly thick as'' him,600,Gaston,who is gaston,He says ''Some people are worth melting for'',800,Olaf,who is olad
DESSERT,Also called a half moon cookie it goes back to N.Y. bakeries in the early 20th century; Obama called it a ''unity cookie'',200,Black and White,what is black and white,This dessert of Sicilian origin consists of cigar-sized tubes of pastry filled with sweet ricotta cheese,400,Cannoli,what is a cannoli,This fried cruller-like delicacy from Mexico is dredged & dunked in sweet cinnamon sugar,600,Churro,what is a churro,Angel food or red velvet on a stick--that's this 2-word treat,800,Cake pop,what is a cake pop
ARTISTS BY CONCERT TOURS,Blond Ambition; Madame X,200,Madonna,who is madonna,Hell Freezes over; One of these Nights,400,The Eagles,who are the eagles,Music of the Spheres; Viva la Vida,600,Coldplay,who is goldplay,Divide; Mathematics,800,Ed Sheeran,who is ed sheeran
PEANUTS,Charles Schulz loved Beethoven's ''Hammerklavier'' sonata--which this tiny virtuoso is playing in an early strip,200,Schroeder,who is schroeder,Most of the gang visits Lucy's psychiatric booth--Schulz's update of a lemonade stand; this boy certainly has some issues,400,Pig-Pen,who is pig pen,A part of this special that was nearly cut has become one of the most beloved sequences:\n''And the angel said unto them 'Fear not: for behold I bring you tidings of great joy which shall be to all people.''',600,A Charlie Brown Christmas,what is a charlie brown christmas,Another Peanuts October milestone came in 1966 when this classic special made its debut:\n''You heard about fury and a woman scorned--haven't you''\n''Yes--I guess I have.''\n''Well--that's nothing compared to the fury of a woman who has been cheated out of tricks or treats.'',800,It's the Great Pumpkin Charlie Brown,what is its the great pumpkin charlie brown
YOUR HOUSE IS SMART,iRobot launched this O.G. robovac in 2002; today's models can mop floors & even empty their own dustbins,200,Roomba,what is a roomba,This Amazon-owned brand of doorbell cameras is perfect for watching Amazon carriers deliver your Amazon packages,400,Ring,what is a ring,Once connected the smart devices in your home become part of a system known as the IoT--short for this,600,Internet of Things,what is internet of things,How do robot mowers know where to stop mowing? Some can 3D-map your lawn using this laser-based technology,800,LiDAR,what is lidar
HAVE A DAY!,January 18 honors; celebrates; appreciates; observes National this reference book Day,200,Thesaurus,what is thesaurus,Since 2002 September 19 has been International this Day--ya scurvy scalawag,400,Talk Like a Pirate Day,when is talk like a pirate day,National Tater Tot Day & Day of the Crêpe both fall on this date--but we didn't find Live the Day Over & Over Day,600,Groundhog Day,when is groundhog day,People online can yell non-stop on both June 28 & October 22 as they celebrate this keyboard key right under tab,800,Caps lock,what is caps lock
OFFICIAL LANGUAGES,In Cuba,200,Spanish,what is spanish,In Egypt,400,Arabic,what is arabic,In Benin,600,French,what is french,In Brunei--this land of a nearby peninsula,800,Malay,what is malay
TALKING TO YOUR SPANIEL IN ESPAÑOL,¡Buen perro!,200,Good dog!,what is good dog,¡Siéntate!,400,Sit!,what is sit,¡Bájate del sofá!,600,Get off the couch!,what is get off the couch,¡Hazte el muerto!,800,Play dead!,what is play dead
FOREIGN WORDS & PHRASES,In the original Italian this coffee drink with steamed milk has 'caffé' before it,200,Latte,what is a latte,The name of this craft is Japanese for 'folding paper',400,Origami,what is origami,Oy you're so clumsy—in fact you're this Yiddish word for a clumsy person--from a word meaning 'wooden beam',600,Klutz,what is a klutz,A pair of Mandarin ducks in your home are great for love luck in this harmonious Chinese living space practice,800,Feng shui,what is feng shui
